VERTEX_ID, WORLD_X, WORLD_Y, WORLD_Z, SCREEN_X, SCREEN_Y, DEPTH
90, 17.90, -1048.75, -3.15, 1401.66, 1041.28, 183.4071
91, 16.82, -1049.76, -3.15, 1419.91, 1043.17, 182.3886
92, 15.72, -1050.77, -3.15, 1438.36, 1045.09, 181.3622
93, 14.83, -1051.82, -3.15, 1456.93, 1046.65, 180.5417
94, 14.58, -1053.03, -3.15, 1475.39, 1046.99, 180.3640
95, 14.29, -1054.22, -3.15, 1493.93, 1047.38, 180.1583
96, 14.38, -1055.41, -3.15, 1510.89, 1047.07, 180.3174
97, 15.26, -1056.58, -3.15, 1524.32, 1045.27, 181.2668
98, 16.12, -1057.75, -3.15, 1537.74, 1043.53, 182.1955
99, 16.99, -1058.91, -3.15, 1550.91, 1041.78, 183.1362
100, 18.59, -1059.83, -3.15, 1557.37, 1038.75, 184.7891
101, 20.19, -1060.75, -3.15, 1563.77, 1035.78, 186.4384
102, 21.78, -1061.67, -3.15, 1570.10, 1032.87, 188.0843
103, 23.37, -1062.59, -3.15, 1576.37, 1030.02, 189.7270
104, 23.37, -1062.59, 67.31, 1562.70, 52.53, 194.0285
105, 21.78, -1061.67, 67.31, 1556.46, 46.97, 192.3858
106, 20.19, -1060.75, 67.31, 1550.16, 41.31, 190.7400
107, 18.59, -1059.83, 67.31, 1543.79, 35.54, 189.0907
108, 16.99, -1058.91, 67.31, 1537.34, 29.65, 187.4377
109, 16.12, -1057.75, 67.31, 1524.42, 26.25, 186.4970
110, 15.26, -1056.58, 67.31, 1511.24, 22.86, 185.5684
111, 14.38, -1055.41, 67.31, 1498.05, 19.37, 184.6189
112, 14.29, -1054.22, 67.31, 1481.48, 18.78, 184.4599
113, 14.58, -1053.03, 67.31, 1463.38, 19.54, 184.6655
114, 14.83, -1051.82, 67.31, 1445.36, 20.20, 184.8432
115, 15.72, -1050.77, 67.31, 1427.27, 23.21, 185.6637
116, 16.82, -1049.76, 67.31, 1409.32, 26.95, 186.6901
117, 17.90, -1048.75, 67.31, 1391.54, 30.62, 187.7086
118, 19.15, -1047.80, 67.31, 1374.44, 34.84, 188.8935
119, 20.62, -1046.96, 67.31, 1358.25, 39.80, 190.3068
120, 22.09, -1046.11, 67.31, 1342.29, 44.69, 191.7190
121, 23.56, -1045.27, 67.31, 1326.55, 49.50, 193.1300
122, 25.12, -1044.47, 67.31, 1311.49, 54.54, 194.6318
123, 26.75, -1043.71, 67.31, 1297.00, 59.73, 196.2020
124, 28.37, -1042.95, 67.31, 1282.74, 64.84, 197.7720
125, 29.99, -1042.20, 67.31, 1268.70, 69.87, 199.3419
126, 31.63, -1041.44, 67.31, 1254.91, 74.86, 200.9259
127, 33.29, -1040.70, 67.31, 1241.39, 79.84, 202.5318
128, 34.95, -1039.95, 67.31, 1228.08, 84.74, 204.1378
129, 36.61, -1039.20, 67.31, 1214.97, 89.57, 205.7438
130, 38.26, -1038.44, 67.31, 1201.92, 94.29, 207.3371
131, 39.86, -1037.63, 67.31, 1188.47, 98.77, 208.8769
132, 41.45, -1036.81, 67.31, 1175.21, 103.19, 210.4162
133, 43.05, -1036.00, 67.31, 1162.13, 107.55, 211.9549
134, 44.58, -1035.13, 67.31, 1148.68, 111.65, 213.4233
135, 45.95, -1034.13, 67.31, 1134.07, 115.23, 214.7249
136, 47.31, -1033.13, 67.31, 1119.61, 118.76, 216.0215
137, 48.67, -1032.12, 67.31, 1105.31, 122.23, 217.3129
138, 49.38, -1030.80, 67.31, 1088.21, 123.89, 217.9341
139, 50.04, -1029.46, 67.31, 1071.10, 125.42, 218.5100
140, 50.33, -1028.10, 67.31, 1054.21, 125.95, 218.7108
141, 49.60, -1026.68, 67.31, 1037.75, 123.77, 217.8893
142, 48.82, -1025.26, 67.31, 1021.26, 121.47, 217.0275
143, 47.57, -1024.06, 67.31, 1007.77, 117.91, 215.7067
144, 45.90, -1023.05, 67.31, 996.98, 113.17, 213.9761
145, 44.22, -1022.05, 67.31, 986.05, 108.35, 212.2413
146, 42.54, -1021.05, 67.31, 974.96, 103.44, 210.5026
147, 40.83, -1020.12, 67.31, 964.56, 98.39, 208.7463
148, 39.11, -1019.24, 67.31, 954.73, 93.22, 206.9765
149, 37.39, -1018.36, 67.31, 944.72, 87.96, 205.2064
150, 35.72, -1017.47, 67.31, 934.26, 82.76, 203.4864
151, 34.42, -1016.44, 67.31, 921.58, 78.60, 202.1303
152, 33.11, -1015.41, 67.31, 908.82, 74.34, 200.7597
153, 32.44, -1014.28, 67.31, 894.15, 72.01, 200.0194
154, 32.04, -1013.14, 67.31, 879.08, 70.51, 199.5434
155, 32.40, -1012.01, 67.31, 863.92, 71.42, 199.8311
156, 33.19, -1010.96, 67.31, 849.57, 73.70, 200.5554
157, 34.20, -1009.93, 67.31, 835.67, 76.65, 201.4998
158, 35.43, -1008.93, 67.31, 822.28, 80.25, 202.6645
159, 36.65, -1007.89, 67.31, 808.45, 83.76, 203.8127
160, 37.86, -1006.81, 67.31, 794.26, 87.17, 204.9430
161, 38.73, -1005.54, 67.31, 777.71, 89.53, 205.7300
162, 39.26, -1004.18, 67.31, 760.13, 90.87, 206.1804
163, 39.21, -1002.70, 67.31, 740.90, 90.42, 206.0298
